  Schema   | Name |        Left arg type        |       Right arg type        |         Result type         |         Function          |                           Description
------------+------+-----------------------------+-----------------------------+-----------------------------+---------------------------+------------------------------------------------------------------
 pg_catalog | !    | bigint                      |                             | numeric                     | numeric_fac               | factorial
 pg_catalog | !!   |                             | bigint                      | numeric                     | numeric_fac               | deprecated, use ! instead
 pg_catalog | !!   |                             | tsquery                     | tsquery                     | tsquery_not               | NOT tsquery
 pg_catalog | !~   | character                   | text                        | boolean                     | bpcharregexne             | does not match regular expression, case-sensitive
 pg_catalog | !~   | name                        | text                        | boolean                     | nameregexne               | does not match regular expression, case-sensitive
 pg_catalog | !~   | text                        | text                        | boolean                     | textregexne               | does not match regular expression, case-sensitive
 pg_catalog | !~*  | character                   | text                        | boolean                     | bpcharicregexne           | does not match regular expression, case-insensitive
 pg_catalog | !~*  | name                        | text                        | boolean                     | nameicregexne             | does not match regular expression, case-insensitive
 pg_catalog | !~*  | text                        | text                        | boolean                     | texticregexne             | does not match regular expression, case-insensitive
 pg_catalog | !~~  | bytea                       | bytea                       | boolean                     | byteanlike                | does not match LIKE expression
 pg_catalog | !~~  | character                   | text                        | boolean                     | bpcharnlike               | does not match LIKE expression
 pg_catalog | !~~  | name                        | text                        | boolean                     | namenlike                 | does not match LIKE expression
 pg_catalog | !~~  | text                        | text                        | boolean                     | textnlike                 | does not match LIKE expression
 pg_catalog | !~~* | character                   | text                        | boolean                     | bpcharicnlike             | does not match LIKE expression, case-insensitive
 pg_catalog | !~~* | name                        | text                        | boolean                     | nameicnlike               | does not match LIKE expression, case-insensitive
 pg_catalog | !~~* | text                        | text                        | boolean                     | texticnlike               | does not match LIKE expression, case-insensitive
 pg_catalog | #    | bigint                      | bigint                      | bigint                      | int8xor                   | bitwise exclusive or
 pg_catalog | #    | bit                         | bit                         | bit                         | bitxor                    | bitwise exclusive or
 pg_catalog | #    | box                         | box                         | box                         | box_intersect             | box intersection
 pg_catalog | #    | integer                     | integer                     | integer                     | int4xor                   | bitwise exclusive or
 pg_catalog | #    | line                        | line                        | point                       | line_interpt              | intersection point
 pg_catalog | #    | lseg                        | lseg                        | point                       | lseg_interpt              | intersection point
 pg_catalog | #    | smallint                    | smallint                    | smallint                    | int2xor                   | bitwise exclusive or
 pg_catalog | #    |                             | path                        | integer                     | path_npoints              | number of points
 pg_catalog | #    |                             | polygon                     | integer                     | poly_npoints              | number of points
 pg_catalog | ##   | line                        | box                         | point                       | close_lb                  | closest point to A on B
 pg_catalog | ##   | line                        | lseg                        | point                       | close_ls                  | closest point to A on B
 pg_catalog | ##   | lseg                        | box                         | point                       | close_sb                  | closest point to A on B
 pg_catalog | ##   | lseg                        | line                        | point                       | close_sl                  | closest point to A on B
 pg_catalog | ##   | lseg                        | lseg                        | point                       | close_lseg                | closest point to A on B
 pg_catalog | ##   | point                       | box                         | point                       | close_pb                  | closest point to A on B
 pg_catalog | ##   | point                       | line                        | point                       | close_pl                  | closest point to A on B
 pg_catalog | ##   | point                       | lseg                        | point                       | close_ps                  | closest point to A on B
 pg_catalog | #-   | jsonb                       | text[]                      | jsonb                       | jsonb_delete_path         | delete path
 pg_catalog | #<   | tinterval                   | reltime                     | boolean                     | tintervallenlt            | less than by length
 pg_catalog | #<=  | tinterval                   | reltime                     | boolean                     | tintervallenle            | less than or equal by length
 pg_catalog | #<>  | tinterval                   | reltime                     | boolean                     | tintervallenne            | not equal by length
 pg_catalog | #=   | tinterval                   | reltime                     | boolean                     | tintervalleneq            | equal by length
 pg_catalog | #>   | json                        | text[]                      | json                        | json_extract_path         | get value from json with path elements
 pg_catalog | #>   | jsonb                       | text[]                      | jsonb                       | jsonb_extract_path        | get value from jsonb with path elements
 pg_catalog | #>   | tinterval                   | reltime                     | boolean                     | tintervallengt            | greater than by length
 pg_catalog | #>=  | tinterval                   | reltime                     | boolean                     | tintervallenge            | greater than or equal by length
 pg_catalog | #>>  | json                        | text[]                      | text                        | json_extract_path_text    | get value from json as text with path elements
 pg_catalog | #>>  | jsonb                       | text[]                      | text                        | jsonb_extract_path_text   | get value from jsonb as text with path elements
 pg_catalog | %    | bigint                      | bigint                      | bigint                      | int8mod                   | modulus
 pg_catalog | %    | integer                     | integer                     | integer                     | int4mod                   | modulus
 pg_catalog | %    | numeric                     | numeric                     | numeric                     | numeric_mod               | modulus
 pg_catalog | %    | smallint                    | smallint                    | smallint                    | int2mod                   | modulus
 pg_catalog | &    | bigint                      | bigint                      | bigint                      | int8and                   | bitwise and
 pg_catalog | &    | bit                         | bit                         | bit                         | bitand                    | bitwise and
 pg_catalog | &    | inet                        | inet                        | inet                        | inetand                   | bitwise and
 pg_catalog | &    | integer                     | integer                     | integer                     | int4and                   | bitwise and
 pg_catalog | &    | macaddr                     | macaddr                     | macaddr                     | macaddr_and               | bitwise and
 pg_catalog | &    | macaddr8                    | macaddr8                    | macaddr8                    | macaddr8_and              | bitwise and
 pg_catalog | &    | smallint                    | smallint                    | smallint                    | int2and                   | bitwise and
pg_catalog | &&   | anyarray                    | anyarray                    | boolean                     | arrayoverlap              | overlaps
 pg_catalog | &&   | anyrange                    | anyrange                    | boolean                     | range_overlaps            | overlaps
 pg_catalog | &&   | box                         | box                         | boolean                     | box_overlap               | overlaps
 pg_catalog | &&   | circle                      | circle                      | boolean                     | circle_overlap            | overlaps
 pg_catalog | &&   | inet                        | inet                        | boolean                     | network_overlap           | overlaps (is subnet or supernet)
 pg_catalog | &&   | polygon                     | polygon                     | boolean                     | poly_overlap              | overlaps
 pg_catalog | &&   | tinterval                   | tinterval                   | boolean                     | tintervalov               | overlaps
 pg_catalog | &&   | tsquery                     | tsquery                     | tsquery                     | tsquery_and               | AND-concatenate
 pg_catalog | &<   | anyrange                    | anyrange                    | boolean                     | range_overleft            | overlaps or is left of
 pg_catalog | &<   | box                         | box                         | boolean                     | box_overleft              | overlaps or is left of
 pg_catalog | &<   | circle                      | circle                      | boolean                     | circle_overleft           | overlaps or is left of
 pg_catalog | &<   | polygon                     | polygon                     | boolean                     | poly_overleft             | overlaps or is left of
 pg_catalog | &<|  | box                         | box                         | boolean                     | box_overbelow             | overlaps or is below
 pg_catalog | &<|  | circle                      | circle                      | boolean                     | circle_overbelow          | overlaps or is below
 pg_catalog | &<|  | polygon                     | polygon                     | boolean                     | poly_overbelow            | overlaps or is below
 pg_catalog | &>   | anyrange                    | anyrange                    | boolean                     | range_overright           | overlaps or is right of
 pg_catalog | &>   | box                         | box                         | boolean                     | box_overright             | overlaps or is right of
 pg_catalog | &>   | circle                      | circle                      | boolean                     | circle_overright          | overlaps or is right of
 pg_catalog | &>   | polygon                     | polygon                     | boolean                     | poly_overright            | overlaps or is right of
 pg_catalog | *    | anyrange                    | anyrange                    | anyrange                    | range_intersect           | range intersection
 pg_catalog | *    | bigint                      | bigint                      | bigint                      | int8mul                   | multiply
 pg_catalog | *    | bigint                      | integer                     | bigint                      | int84mul                  | multiply
 pg_catalog | *    | bigint                      | money                       | money                       | int8_mul_cash             | multiply
 pg_catalog | *    | bigint                      | smallint                    | bigint                      | int82mul                  | multiply
